,developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating
0,NORWAY,RO,127731,Sports,,smartphone,True,True,low,99.0,14.017220031335052,160.4,4.0,medium,low,low
1,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,50 - 100,GLOBAL,True,,,99.0,,17.5,0.0,,low,low
2,UNITED ARAB EMIRATES,CZ,51143,Games,50000000 - 100000000,GLOBAL,True,True,low,0.0,31.883162966505576,30.766666666666666,4.0,,low,low
3,GERMANY,GLOBAL,1074,Games,,GLOBAL,True,,,99.0,,71.53333333333333,4.0,,low,low
4,CANNOT IDENTIFY COUNTRY,GLOBAL,17,Tools,1000 - 5000,GLOBAL,True,,,99.0,,52.4,4.0,,low,low
5,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,50 - 100,GLOBAL,True,,,0.0,,37.7,,,low,low
6,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,237,Games,,GLOBAL,True,,,,,88.26666666666665,0.0,medium,low,low
7,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,1 - 5,GLOBAL,True,,,99.0,,24.23333333333333,,,low,low
8,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,50 - 100,GLOBAL,,,,99.0,,76.26666666666665,0.0,,low,low
9,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,100 - 500,GLOBAL,True,,,0.0,,71.43333333333334,0.0,,low,low
10,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,,,,,,102.33333333333331,0.0,,low,low
11,ADDRESS NOT LISTED IN PLAYSTORE,,404,Games,10000 - 50000,GLOBAL,True,,,99.0,132.2359626609089,30.166666666666668,4.0,,high,low
12,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Education,10000 - 50000,GLOBAL,True,,,0.0,,74.33333333333333,3.0,,low,low
13,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,48,Games,,GLOBAL,,,,,,128.76666666666668,4.0,,low,low
14,FINLAND,GLOBAL,31,Games,50000 - 100000,tablet,True,False,high,0.0,,8.966666666666665,3.0,,low,low
15,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Games,10 - 50,GLOBAL,True,,,0.0,,75.2,5.0,,low,low
16,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,164,Tools,10000 - 50000,GLOBAL,True,,,0.0,,69.66666666666667,3.0,,low,low
17,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,True,,,,,57.2,0.0,,high,low
18,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,112,Entertainment,10000 - 50000,GLOBAL,True,False,high,0.0,,60.36666666666667,4.0,medium,high,low
19,SINGAPORE,GLOBAL,0,Beauty,100 - 500,GLOBAL,True,,,0.0,,80.1,0.0,,low,low
20,UNITED STATES,GLOBAL,0,Business,10 - 50,GLOBAL,True,,,99.0,,91.2333333333333,5.0,,low,low
21,ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Health & Fitness,,GLOBAL,,,,,,135.6,1.0,,low,low
